state,city,SUM of last_available_confirmed,SUM of new_confirmed_7day_rolling,SUM of last_available_deaths,SUM of new_deaths_7day_rolling,MIN of date,MIN of estimated_population_2019
BA,Cordeiros,661,1,5,0,6/15/2021,8614
BA,Coribe,945,4,14,0,6/15/2021,14194
BA,Coronel JoÃ£o SÃ¡,1239,19,14,0,6/15/2021,15895
BA,Correntina,2328,9,34,0,6/15/2021,32137
BA,Cotegipe,540,1,20,0,6/15/2021,13782
BA,CravolÃ¢ndia,400,1,2,0,6/15/2021,5349
BA,CrisÃ?polis,368,1,11,0,6/15/2021,21103
BA,CristÃ?polis,851,4,6,0,6/15/2021,13910
BA,Cruz das Almas,4587,22,51,0,6/15/2021,63239
BA,CuraÃ§Ã¡,1055,3,26,0,6/15/2021,34700
BA,DÃ¡rio Meira,843,2,14,0,6/15/2021,10710
BA,Dias d'ÃÅvila,5372,11,147,0,6/15/2021,81089
BA,Dom BasÃ?lio,921,2,15,0,6/15/2021,12199
BA,Dom Macedo Costa,362,1,7,0,6/15/2021,4058
BA,ElÃ?sio Medrado,471,1,7,0,6/15/2021,8122
BA,Encruzilhada,629,2,16,0,6/15/2021,17006
BA,Entre Rios,1563,8,37,0,6/15/2021,41780
BA,Ã‰rico Cardoso,276,2,2,0,6/15/2021,10610
BA,Esplanada,1836,8,34,0,6/15/2021,37237
BA,Euclides da Cunha,3023,19,50,1,6/15/2021,60585
BA,EunÃ¡polis,10668,42,178,1,6/15/2021,113380
BA,FÃ¡tima,939,3,13,0,6/15/2021,17890
BA,Feira da Mata,236,1,4,0,6/15/2021,5665
BA,Feira de Santana,46619,173,875,5,6/15/2021,614872
BA,FiladÃ©lfia,1024,3,26,0,6/15/2021,16377
BA,Firmino Alves,356,2,10,0,6/15/2021,5617
BA,Floresta Azul,767,0,19,0,6/15/2021,10629
BA,Formosa do Rio Preto,1111,8,23,0,6/15/2021,25591
BA,Gandu,2594,4,49,0,6/15/2021,32403
BA,GaviÃ£o,314,0,1,0,6/15/2021,4463
BA,Gentio do Ouro,385,0,10,0,6/15/2021,11233
BA,GlÃ?ria,887,16,18,0,6/15/2021,15221
BA,Gongogi,690,18,10,0,6/15/2021,7128
BA,Governador Mangabeira,901,2,13,0,6/15/2021,20722
BA,Guajeru,328,1,4,0,6/15/2021,6937
BA,Guanambi,8814,65,96,1,6/15/2021,84481
BA,Guaratinga,1369,3,42,0,6/15/2021,20843
